,tel,link,descricao
WINEHOUSE,+55 11 3078-4249,"['#fpstate=ive&vld=cid:220f8088,vid:jmSsutc-fFQ', 'https://www.musicinminnesota.com/how-did-amy-winehouse-die/', 'https://www.alamy.com/stock-photo-amy-winehouse-performing-live-on-stage-in-sao-paulo-sao-paulo-brazil-44359422.html', 'https://www.pinterest.com/pin/475200198164538513/', 'http://www.insidesaopaulo.com/2010/09/amy-winehouse-in-sao-paulo-for-first.html', '/search?q=WINEHOUSE,+SAO+PAULO+-+SP&tbm=isch&source=univ&fir=40fWwR-jcw5YKM%252CVe5MDQt6abp6IM%252C_%253B3Su3lUK7Ubx4uM%252CzjYsbFmBQnT4rM%252C_%253BV8CFn84y3wrCZM%252CeIznoUVeiBNTYM%252C_%253B7EUhR1cm9h5tOM%252Cw1YCm8xiwqXOCM%252C_%253BaUe1V-d-iLWy2M%252C5gQCfKhK4omvuM%252C_%253BHxoQ99Df2dsH6M%252C5c6cQDq2M9Vx7M%252C_%253BkZ1vGhPj5I4I6M%252CqjbAOPEnLhO0OM%252C_%253BwMC4Ha8amU5PiM%252C3oSPK-X58OBFtM%252C_%253BE84VT9kaXTCDqM%252CB5FGdrdd4DgXgM%252C_%253BbQGXY2cdKHS0CM%252CD6ntkYkqXCs2OM%252C_&usg=AI4_-kQBSnqnhBqQsgI2CovblF6Csl0uNA&sa=X&ved=2ahUKEwiq-7bjqaT9AhU_FFkFHamsDLoQjJkEegQIFRAC', 'https://www.guitars101.com/threads/amy-winehouse-2011-01-15-arena-anhembi-s%C3%A3o-paulo-sp-brasil.657447/']","[""Download this stock image: Amy Winehouse heading to a Bar in Sao Paulo. Sao Paulo, Brazil - 16.01.11 - CG4MW6 from Alamy's library of millions of high\xa0..."", 'Amy Winehouse - Sao Paulo 2011 (Really Full Concert). Video by. Shirley Baxter. on. youtube. ·. The queen of soul live in Sao Paulo, Brasil. 2011.', 'Amy Winehouse 15-01-2011 Arena Anhembi, São Paulo SP ,Brasil 1.Shimmy Shimmy Koko Bop (intro) / Just Friends 2.Back to Black 3.Tears Dry On Their Own...']"
SANTA CRUZ BEBIDAS,NAO DISPONIBILIZADO,"['https://bebidassantacruz.com.br/', 'https://www.facebook.com/depositosantacruz2447/', 'https://dbsc.com.br/', 'https://www.apontador.com.br/local/sp/sao_paulo/bebidas/C40696194B484C4844/santa_cruz_bebidas.html', 'https://www.solutudo.com.br/empresas/sp/santa-cruz/depositos-de-bebidas/santa-cruz-distribuidora-de-bebidas-293640', 'https://www.instagram.com/hddepositodebebidas/?hl=en', 'https://www.cavessantacruz.com.br/categoria/bebidas/page/2/', 'https://www.listamais.com.br/local/cad_idX0fXZBD/adega-santa-cruz-bebidas-em-sao-paulo-sp']","['O DBSC – Depósito de Bebidas Santa Cruz tem como objetivo oferecer produtos e serviços de qualidade, aos seus clientes, refletido assim em sua satisfação e\xa0...', '... o endereço, as fotos e as avaliações do Santa Cruz Bebidas especializado em null localizado em Rua Américo Sugai, 654, 08060-380, Vila Jacuí, São Paulo, SP.', 'No mercado, a empresa está localizada na Avenida Dr. Pedro Camarinha, Nº 1084 no bairro Vila Saul em Santa Cruz do Rio Pardo - SP, CEP 18900-000. .', 'HD Deposito de Bebidas. Personal blog ... Atendemos até 10 km da nossa localização ⛳️ Endereço Rua São Benedito 516 , Santa Cruz ! Pedidos.', 'VINHO S DE SOL TINTO. R$86,11 R$39,99 ... Vila Prudente – São Paulo – SP. Horário: ... A VENDA DE BEBIDAS ALCOÓLICAS É PROIBIDA PARA MENORES DE 18 ANOS.', 'Adega Santa Cruz São Paulo SP Bebidas | Encontre na Lista Mais o Telefone, WhatsApp, Endereço, Avaliações e Como Chegar em Mariana de Souza Guerra ,']"
FINS DE SEMANAS BAR,NAO DISPONIBILIZADO,"['https://www.guiadasemana.com.br/bares-drinks/galeria/bares-em-sao-paulo-para-ir-no-fim-de-semana', 'https://www.viajali.com.br/bares-sao-paulo/', 'https://www.instagram.com/barspitapeva/?hl=en', 'https://estrangeira.com.br/passeios-sao-paulo-no-fim-de-semana/', 'https://saopaulosecreto.com/dia-mundial-do-cafe-coqueteis-de-cafe-sp/', 'https://www.correiobraziliense.com.br/revista-do-correio/2022/10/5044066-arte-gastronomia-e-descanso-em-um-fim-de-semana-divertido-em-sao-paulo.html', 'https://www.pacoteshyatt.com.br/sao-paulo/fim-de-semana/']","['Jan 18, 2020 — No Drosophyla, um bar descolado em um casarão tombado pelo patrimônio histórico em pleno centro de São Paulo, os fins de semana são agitados\xa0...', 'Que a capital paulista tem os melhores bares do Brasil não é segredo para ninguém. Vila Olímpia para quem gosta de baladas e happy hours, Vila Madalena para\xa0...', 'SUA MELHOR OPÇÃO | #BarSp ▪️Restaurante e choperia de qualidade! ▪️Há 15 anos em Itapeva/Sp (15) 99763-8245 (Faça seu pedido). www.barsp.com.br.', 'Feb 18, 2019 — Dicas de quem morou em SP a vida toda! ;). Ao fim do post há um mapa com todos os pontos mencionados, para te ajudar no planejamento. Leia\xa0...', 'Sep 28, 2022 — Isso porque, o ingrediente está super em alta na coquetelaria. Escolha o seu bar favorito e aproveite! + 6 cafeterias descoladas em SP que\xa0...', 'Oct 16, 2022 — Querendo fugir da rotina? A Revista preparou um roteiro cultural e gastronômico para curtir a maior metrópole do Brasil em poucos dias.', 'A cidade de São Paulo é o principal centro financeiro, corporativo e mercantil ... Além disso, o hotel conta com três bares: Wine Library, C-Bar e Nu Bar,\xa0...']"
ADORO AGUA,+55 11 5017-6267,"['https://www.solutudo.com.br/empresas/sp/s-paulo/depositos-de-bebidas/adoro-agua-16074127', 'https://portaljabaquara.com.br/item/adoro-agua-distribuidora/', 'https://www.descubraonline.com/guia/sp/sao-paulo/adoro-agua-17093167000147/', 'https://www.diariocidade.com/sp/sao-paulo/guia/adoro-agua-06196064000196/', 'https://acharei.com.br/poi/adoro_agua_avenida_diederichsen-563290.html', 'https://cnpj.biz/17093167000147', 'https://cidadeurgente.com/sp/sao-paulo/guia/adoro-agua-17093167000147/', 'http://cnpj.info/Adoro-Agua-Distribuidora-de-Agua-Ltda-Adoro-Agua', 'https://nicelocal.br.com/sao-paulo/business/distribuidora_adoro_agua/']","['A empresa Adoro Agua trabalha há mais de 10 anos na categoria Depósitos de Bebidas na cidade de São Paulo, SP na Avenida Diederichsen, Nº 1418 - Vila\xa0...', 'Buscando as melhores marcas de água com excelentes preços? Promoção Adoro Água Tudo em Dobro! Compre 02 galões de 20L e pague apenas:.', 'Endereço e dados de contato de ADORO AGUA. Endereço: Avenida Diederichsen, 1418. Vila Guarani - São Paulo - SP CEP 04310-001. Dados de contato:', 'A empresa Adoro Agua, localizada no bairro Vila Guarani, em São Paulo-SP foi fundada em 2004. A atividade principal da empresa é Comércio Varejista de\xa0...', 'Adoro Água, São Paulo - SP. (11) 5011-0616. Av. Diederichsen, 1418 - Vila Guarani, São Paulo - SP, 04310-001, Brasil São Paulo - SP\xa0...', 'Todos os dados da empresa Adoro Agua Distribuidora de Agua LTDA com CNPJ 17.093.167/0001-47 - 17093167000147 de São Paulo/SP. Telefone, E-mail, Endereço...', 'Adoro Agua em São Paulo - SP, São Paulo. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Guia da Cidade.', 'Consulta CNPJ da empresa Adoro Agua Distribuidora de Agua LTDA | Adoro Agua. Também ver outro informações: situação cadastral, ... SAO PAULO - SP 04310-001\xa0...']"
BARDEL,NAO DISPONIBILIZADO,"['http://www.bardella.com.br/', 'https://m.facebook.com/pages/category/Bar/Bardella-109967227906228/', 'https://bardel.ca/', 'https://ca.linkedin.com/in/igor-c-6a390084', 'https://www.dnb.com/business-directory/company-profiles.amauri_bardella.c279c3395584502849e2acc682c0d1b2.html', '/search?q=BARDEL,+SAO+PAULO+-+SP&tbm=isch&source=univ&fir=9IJ1fXLTlJRmuM%252Caf17gVHpLo9sGM%252C_%253BxJ_PFD6Tz577hM%252CoUSro-3PFunwwM%252C_%253B07-ym7si5Xs-fM%252CCXyF-F5HaPe7NM%252C_%253BzKX2VAao4NfdjM%252CyRS50SQ7nLbJSM%252C_%253BQ4qSj828hqObGM%252Caf17gVHpLo9sGM%252C_%253BMtRb46PuTbaGbM%252CqKX3bhA4U0wdvM%252C_%253BuhOp-xfpYlhnWM%252CQ_gLaca0DwCAJM%252C_%253BVe09OGsnoD2izM%252CPnO0WG4DMYzUpM%252C_%253BxKFywO0nSOgSrM%252Ctz0towXLiXAXJM%252C_%253BdSi1KJIz8UiieM%252C3Y_W88gjbTuvZM%252C_&usg=AI4_-kTiGndUdC2K0K_zYje_H1bJ_Id29Q&sa=X&ved=2ahUKEwjEucP9qaT9AhVbF1kFHRrfCOIQjJkEegQIJRAC', 'https://br.indeed.com/cmp/Bardella-S__a/reviews?fcountry=BR&floc=S%C3%A3o+Paulo%2C+SP', 'https://m.yelp.com/biz/correios-s%C3%A3o-paulo-6', 'https://www.tripadvisor.co.nz/LocationPhotoDirectLink-g303631-d311236-i29305766-Savoy_Palace_Hotel-Sao_Paulo_State_of_Sao_Paulo.html']","['A BARDELLA S.A. Indústrias Mecânicas é uma empresa fundada em 1911 pelo imigrante italiano Antônio Bardella. Como tantos imigrantes que chegaram ao Brasil\xa0...', 'Bardella, São Paulo, Brazil. Bar. ... Bardella is in Pinheiros, São Paulo. Aug 19, 2021\U000f078b\U000f07e0. E essa onda de calor que bateu em Sampa nessa', 'Bardel is a leading 2D, 3D, and hybrid animation studio based in North America and made up of world-class creators and storytellers.', 'Igor C. Hidráulica e Saneamento ambiental - Fatec São Paulo, Tecnólogo em Polímeros, Técnico em Química, e Técnico em Farmácia. São Paulo, SP\xa0...', 'Address: VARZEA PAULISTA, SAO PAULO Brazil ... If AMAURI BARDELLA is your company and you would like to remove it from the D&B Business Directory,\xa0...', 'Avaliações dos funcionários da empresa BARDELLA S/A acerca da cultura BARDELLA S/A, salários, benefícios, equilíbrio trabalho e vida pessoal, gerenciamento,\xa0...', ""Correios in São Paulo, reviews by real people. Yelp is a fun and easy way to find, recommend and talk about what's great and not so great in São Paulo and\xa0..."", ""Savoy Palace Hotel, Sao Paulo Picture: bar del lobby - Check out Tripadvisor members' 14 candid photos and videos.""]"
COMERCIO SANTA AGUA,NAO DISPONIBILIZADO,"['https://www.apontador.com.br/local/sp/sao_paulo/lojas_diversas/C404556A17405T405A/comercio_santa_agua.html', 'https://www.descubraonline.com/guia/sp/sao-paulo/comercio-santa-agua-04756269000153/', 'https://www.solutudo.com.br/empresas/sp/s-paulo/depositos-de-bebidas/santa-agua-distribuidora-de-bebidas-12985984', 'https://www.econodata.com.br/consulta-empresa/31097098000170-AGUA-DOCE-COMERCIO-DE-PESCADOS-LTDA', 'https://www.nicom.com.br/', '/search?q=COMERCIO+SANTA+AGUA,+SAO+PAULO+-+SP&tbm=isch&source=univ&fir=H4EY2uxxm3NxWM%252CfMsGIAiGMlFBPM%252C_%253BdoqRsKP5mrLfcM%252CnjnvZOJ5msUI4M%252C_%253BOqT32fR0BPo88M%252CPUq7TqYc7XHMaM%252C_%253BQN4YF6SpRsK7oM%252CqUpiFsrs4cfhdM%252C_%253BCaPADpZhGUtHhM%252CzRQCWQNQI0vuVM%252C_%253BqJyoboZZt_8wVM%252CcDTaxnyhiq1d_M%252C_%253B-c71RLe7iAIyMM%252CzM2QDR7SyrqJqM%252C_%253Bsmq2kKITx-5gBM%252C7LlWYDIaUGbZpM%252C_%253BDO6KT5Yx0ofDFM%252C7LlWYDIaUGbZpM%252C_%253BIv8YnD2cnjiYxM%252CCuWpwNJP_D6MVM%252C_&usg=AI4_-kQ_0vau3MBYPjAo4hQkdrJB-kATRQ&sa=X&ved=2ahUKEwip6cCDqqT9AhWtEFkFHSvYBRAQjJkEegQIFBAC', 'https://www.fecomercio.com.br/upload/pdf/2015/13/cartilha-agua-preservar.pdf', 'https://site.sabesp.com.br/site/uploads/file/tabelas_tarif%C3%A1rias/comunicado_01_2022.pdf']","['... o endereço, as fotos e as avaliações do Comercio Santa Agua especializado em null localizado em ... 206, FUNDOS, 05616-130, Vila Progredior, São Paulo, SP.', 'Razão Social: COMERCIO DE AGUA ALFIERI & FONSECA LTDA ; Nome Fantasia: COMERCIO SANTA AGUA ; Natureza Jurídica: 206-2 Sociedade Empresária Limitada ; CNPJ: 04.756.', 'No mercado, a empresa está localizada na Rua Alves Guimarães, Nº 1323 no bairro Pinheiros em São Paulo - SP, CEP 05410-002. A empresa Santa Agua\xa0...', 'Consulte o CNPJ da AGUA DOCE COMERCIO DE PESCADOS LTDA de Santa Fé do Sul, SP, seus sócios e contatos como telefones, emails e website, além de faturamento,\xa0...', 'A Nicom comercializa materiais de construção de boa qualidade atendendo às necessidades e expectativas dos clientes, buscando a melhoria contínua do sistema\xa0...', 'by DE COMÉRCIO · Cited by 2 — consumo de água no setor de comércio e serviços ... mento regular de água para todo o Estado de São Paulo, particularmente ... Santa Rita doPassaQuatro.', 'Apr 9, 2022 — São Paulo em 07 de abril de 2022 (Caderno Executivo I, ... Tarifas dos serviços de fornecimento de água e/ou coleta de esgotos:.']"
BEBIDAS SANTA LUZIA,+55 11 3897-5000,"['https://www.santaluzia.com.br/bebidas', 'https://pt-br.facebook.com/ernanegustavodasilva/', 'https://www.rappi.com.br/lojas/900632583-santa-luzia-emporium-nc', 'https://www.diariocidade.com/sp/sao-paulo/guia/bebidas-santa-luzia-03070010000191/', 'https://www.instagram.com/p/CILvMxegCl7/?hl=en', 'https://www.eventbrite.com.br/d/brazil--jardim-santa-luzia/food-and-drink--events/', 'https://www.multiplace.net.br/loja/43058_1_552_0/casa-santa-luzia.html?busca=', 'https://www.tripadvisor.com.br/Restaurant_Review-g303631-d12867673-Reviews-Casa_Santa_luzia-Sao_Paulo_State_of_Sao_Paulo.html', 'https://www.amazon.com.br/Alimentos-e-Bebidas-Casa-Santa-Luzia/s?rh=n%3A18991079011%2Cp_6%3AA2F804PD0QVE37']","['Você encontra aqui a seleção de produtos especiais que fizeram este pedacinho dos Jardins, em São Paulo, se tornar uma marca da gastronomia no Brasil.', 'Horário especial fim de ano de terça a sábado. Das 8:00 a 00:00. Domingo 8:00 as 22:00. Segunda 8:00 as 22:00 · \U000f0925 · \U000f0926 · \U000f0927. Santa Luzia Bebidas está em\xa0...', 'Produtos mais vendidos. Hortifruti; Bebidas não alcoólicas; Mercearia; Laticínios e ovos; Utilidades e casa ; Promoções. Coca-Cola Refrigerante Original\xa0...', 'A empresa Bebidas Santa Luzia, localizada no bairro Mandaqui, em São Paulo-SP foi fundada em 1999. A atividade principal da empresa é Comércio Varejista de\xa0...', '1060 Likes, 12 Comments - Casa Santa Luzia (@casasantaluzia) on Instagram: “Hoje trouxemos duas ... gimonteiroc Não moro em SP, já liguei p vcs, já.', 'Procurando por eventos comida e bebida em Jardim Santa Luzia? Quer você viva na área, tenha se mudado há pouco tempo ou esteja só de passagem,\xa0...', 'CNPJ: 59.350.116/0003-65 · Alameda Lorena 1 471 CEP 01424-001 - São Paulo - SP · Telefones: (11) 3897-5000.', 'Localização e contato. Alameda Lorena 1471 Jardins district, São Paulo, Estado de São Paulo 01424-005 Brasil.', 'em até 3x de R$ 60,19 sem juros. Compre agora e economize mais 8% na finalização do pedido. Receba Sexta-feira, 17 de fev - Segunda-feira, 20 de fev.']"
SEVERINO BAR,NAO DISPONIBILIZADO,"['https://www.tripadvisor.com.br/Restaurant_Review-g780022-d5678309-Reviews-Bar_Do_Severino-Valinhos_State_of_Sao_Paulo.html', 'https://restaurantguru.com.br/Bar-e-Restaurante-do-SEVERINO-Sao-Paulo', 'https://cardapio.menu/restaurants/sao-paulo/bar-do-severino', 'https://pt.foursquare.com/v/bar-do-severino/4efce9274690f6ece76bf2be', 'https://m.facebook.com/people/Restaurante-Do-Severino-Paraisopolis/100037322126435/?locale=pt_BR', 'https://www.zomato.com/sao-paulo-sp/bar-do-severino-moema-zona-sul', 'https://www.instagram.com/severina_barerestaurante/', 'https://www.solutudo.com.br/empresas/sp/s-paulo/diversos/severino-bar-21009075']","['Bar Do Severino, Valinhos: See unbiased reviews of Bar Do Severino, ... Rua Guilherme Mamprim 1027 Jd Pinheiros, Valinhos, Estado de São Paulo 13274-450\xa0...', 'Veja o que seus amigos estão dizendo sobre Bar Do Severino. Ao criar uma conta, você é capaz de seguir amigos e especialistas em quem confia e ver os locais\xa0...', 'Restaurante Do Severino Paraisopolis · Página · Bar ao ar livre · Rua Laerte Setubal N.122, São Paulo, SP, Brazil · Fechado agora · Classificação · 4,2 (116\xa0...', 'Bar do Severino São Paulo, Moema; View reviews, menu, contact, location, and more for Bar do Severino Restaurant.', 'Bar & Restaurante especializado em comida nordestina! \u200d     . Funcionamos aos sábados e domingos! . Aceitamos cartão de débito e crédito! 25 posts.', 'A empresa Severino Bar trabalha há mais de 3 anos na categoria Diversos na cidade de São Paulo, SP na Avenida Rodrigues Montemor, Nº 756 - Cidade Domitila.']"
DELACROIX,NAO DISPONIBILIZADO,"['https://www.delacroixvinhos.com.br/', '/search?q=DELACROIX,+SAO+PAULO+-+SP&tbm=isch&source=univ&fir=WWtj1RXwR6xp4M%252CMS9dvh3_rDvcVM%252C_%253B42_RxcBqESvi6M%252C5OS4VZwXd3u23M%252C_%253BJcY68rJvZnPKKM%252CN84qx9T-EQbZ8M%252C_%253BJXFgQufI2YZ6fM%252CWIQRXD9rivP9QM%252C_%253Buc1LCiE1Xd-PLM%252Cc47ingOcQZLSHM%252C_%253B0ShLFapzGLop9M%252CAYhNzo66aXOqjM%252C_%253BF7A7HYfZMJWa4M%252C2h1k0dIvzc-gLM%252C_%253BKOnA1upPRdZGpM%252CGfnJsxs4VhOcYM%252C_%253BQ4nedoPEZ2h4UM%252C-OCIP4ipvOFFlM%252C_%253ByKHfzq6XSCzw1M%252CpfXYvmHCi9aWXM%252C_&usg=AI4_-kQ735A-7s_wq7vj3FUkdsGZPEWPwg&sa=X&ved=2ahUKEwjNo92WqqT9AhWFFlkFHfruATgQjJkEegQIFRAC', 'https://www.instagram.com/delacroixvinhos/?hl=en', 'https://m.facebook.com/profile.php?id=226821880998812&paipv=0', 'https://commons.wikimedia.org/wiki/File:Autumn,_Bacchus_and_Ariadne,_by_Eugene_Delacroix,_1856-1863,_oil_on_canvas_-_Museu_de_Arte_de_S%C3%A3o_Paulo_-_DSC07145.jpg', 'https://m.yelp.com/biz/jos%C3%A9-leonardi-s%C3%A3o-paulo', 'https://en.wikipedia.org/wiki/Eug%C3%A8ne_Delacroix', 'https://www.alamy.com/the-summer-diana-surprised-by-actaeon-1856-1863-eugne-delacroix-oil-on-canvas-masp-so-paulo-brazil-image232447521.html']","['A de la Croix oferece o melhor da França com vinhos orgânicos, biodinâmica e naturais. Seleção exclusiva por Geoffroy de la Croix.', '13.4k Followers, 2198 Following, 573 Posts - See Instagram photos and videos from de la Croix Vinhos (@delacroixvinhos)', 'Delacroix Importacao, Exportacao e Comercializacao de Bebida, São Paulo, SP, Brazil. 14 likes · 61 were here. Shopping & retail.', 'São Paulo Museum of Art ; São Paulo Museum of Art. Native name, Museu de Arte de São Paulo (MASP).', ""José Leonardi in São Paulo, reviews by real people. Yelp is a fun and easy way to find, recommend and talk about what's great and not so great in São Paulo\xa0..."", 'Ferdinand Victor Eugène Delacroix was a French Romantic artist regarded from the outset of ... 1856, private collection (sketch for the painting in the São Paulo Museum\xa0...']"
STILLUS LANCHES E DOCES,NAO DISPONIBILIZADO,"['https://www.solutudo.com.br/empresas/sp/s-paulo/doces/stillus-lanches-e-doces-17762143', 'https://www.diariocidade.com/sp/sao-paulo/guia/stillus-lanches-e-doces-03483318000169/', 'https://www.apontador.com.br/local/sp/sao_paulo/lanchonetes/C404373941582D5820/stillus_lanches_e_doces.html', 'https://www.econodata.com.br/consulta-empresa/03483318000169-CAYATES-COMERCIO-DE-BEBIDAS-LTDA', 'https://www.descubraonline.com/guia/sp/sao-paulo/stillus-lanches-e-doces-03483318000240/', 'https://www.facebook.com/stillusburger/', 'https://cidadeurgente.com/sp/sao-paulo/guia/stillus-lanches-e-doces-03483318000169/', 'https://cnpj.biz/03483318000169', 'https://www.turismo2rodas.com/sp/sao-paulo/guia/stillus-lanches-e-doces-03483318000169/']","['A empresa Stillus Lanches E Doces trabalha há mais de 14 anos na categoria Doces na cidade de São Paulo, SP na Avenida Adelia Chohfi,\xa0...', 'Confira no mapa como chegar em Stillus Lanches E Doces, no endereço: Rua Faustino Pereira Matias, 1, Santana, São Paulo-SP. CEP: 02012-090 .', 'Stillus Lanches e Doces. Avenida Adélia Chohfi, s/n, QUIOSQTERMINAL EMTU SAO MATEUS, Parque São Rafael,São Paulo - SP, CEP: 08320-390. 0 avaliações.', 'Consulte o CNPJ da STILLUS LANCHES E DOCES de São Paulo, SP, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de\xa0...', 'Confira abaixo os telefones, endereço e e-mail para contato de Stillus Lanches E Doces em São Paulo, São Paulo. · 47.23-7-00 Comércio Varejista de Bebidas · 56.20\xa0...', 'Page · Diner · Praca Conego Pedro Bonhome 319, São Paulo, SP, Brazil · +55 11 2386-3096 · stillus.burguer@gmail.com · Closed now · Not yet rated (2 Reviews) · See\xa0...', 'Stillus Lanches E Doces em São Paulo - SP, São Paulo. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Guia da\xa0...', 'Nov 4, 1999 — Todos os dados da empresa Stillus Lanches e Doces Cayates Comercio de Bebidas LTDA com CNPJ 03.483.318/0001-69 - 03483318000169 de São\xa0...', 'Stillus Lanches E Doces em São Paulo, São Paulo. Acesse agora e confira ✆ telefones, endereço e horários de atendimento dessa empresa | Turismo2Rodas.']"
